                                                                   filename         r1         r2         r3         r4         r5    step_volume    gmsh_volume      nodes   elements     pre_time    biax_time   shear_time   total_time     biax_react          E_eff    shear_react          G_eff
       fcc[r1=6.840_r2=7.683_r3=6.493_r4=3.134_r5=6.923_vol=116017.736].msh     6.8400     7.6830     6.4930     3.1340     6.9230    116017.7360    115833.4689     292821    1652846       8.9278      10.9468      14.5066      34.3896       446.5365        22.3268       202.2622        10.1131
       fcc[r1=6.841_r2=6.694_r3=7.146_r4=7.631_r5=7.893_vol=146508.005].msh     6.8410     6.6940     7.1460     7.6310     7.8930    146508.0050    146330.3660     345182    1981636      11.1043      14.8891      18.0168      44.0204       588.5897        29.4295       255.1610        12.7580
        fcc[r1=6.842_r2=4.728_r3=5.024_r4=2.458_r5=8.730_vol=97575.951].msh     6.8420     4.7280     5.0240     2.4580     8.7300     97575.9510     97410.1888     263448    1467969       7.6830       9.2307      12.8600      29.7812       361.3320        18.0666       165.9630         8.2982
       fcc[r1=6.842_r2=6.258_r3=4.852_r4=7.207_r5=8.003_vol=127996.598].msh     6.8420     6.2580     4.8520     7.2070     8.0030    127996.5980    127813.3709     311519    1771639       9.7311      12.4471      15.5919      37.7793       496.8507        24.8425       220.6703        11.0335
       fcc[r1=6.842_r2=6.565_r3=9.908_r4=5.302_r5=7.568_vol=146278.710].msh     6.8420     6.5650     9.9080     5.3020     7.5680    146278.7100    146107.7938     345820    1984277      11.1103      14.9590      17.9064      43.9873       589.3232        29.4662       256.1272        12.8064
        fcc[r1=6.843_r2=2.212_r3=4.622_r4=9.856_r5=1.020_vol=81644.748].msh     6.8430     2.2120     4.6220     9.8560     1.0200     81644.7480     81577.0094     309739    1718260       8.8346      10.6434      16.7385      36.2266       295.6674        14.7834       138.0766         6.9038
       fcc[r1=6.844_r2=9.776_r3=5.171_r4=8.875_r5=9.820_vol=173087.992].msh     6.8440     9.7760     5.1710     8.8750     9.8200    173087.9920    172834.2310     304434    1751108       9.8460      13.3274      15.1433      38.3259       733.9689        36.6984       307.3295        15.3665
       fcc[r1=6.847_r2=5.880_r3=9.030_r4=3.740_r5=4.553_vol=109752.578].msh     6.8470     5.8800     9.0300     3.7400     4.5530    109752.5780    109594.4905     283794    1596962       8.4995      10.3220      13.9256      32.7554       419.1810        20.9590       190.2722         9.5136
       fcc[r1=6.849_r2=3.768_r3=9.909_r4=1.930_r5=9.641_vol=122070.841].msh     6.8490     3.7680     9.9090     1.9300     9.6410    122070.8410    121924.3232     300469    1704137       9.2686      11.6818      14.9909      35.9504       468.7220        23.4361       209.4123        10.4706
        fcc[r1=6.849_r2=6.904_r3=1.072_r4=6.875_r5=2.246_vol=78294.120].msh     6.8490     6.9040     1.0720     6.8750     2.2460     78294.1200     78147.7578     304673    1679300       8.4642      10.2260      16.1717      34.8701       288.4426        14.4221       133.0581         6.6529
        fcc[r1=6.850_r2=2.020_r3=3.816_r4=7.553_r5=5.941_vol=88109.876].msh     6.8500     2.0200     3.8160     7.5530     5.9410     88109.8760     88047.7192     334682    1861668       9.5877      12.0440      17.8363      39.4772       320.6794        16.0340       146.1954         7.3098
       fcc[r1=6.851_r2=4.730_r3=5.585_r4=9.060_r5=7.965_vol=133279.945].msh     6.8510     4.7300     5.5850     9.0600     7.9650    133279.9450    133114.8657     326222    1857879      10.4096      13.0828      16.4228      39.9247       523.1291        26.1565       228.2882        11.4144
       fcc[r1=6.852_r2=8.499_r3=8.115_r4=1.359_r5=8.362_vol=127857.440].msh     6.8520     8.4990     8.1150     1.3590     8.3620    127857.4400    127663.2324     312131    1772019       9.6761      12.5230      15.4216      37.6297       503.1791        25.1590       224.5827        11.2291
       fcc[r1=6.852_r2=9.895_r3=9.019_r4=9.398_r5=4.511_vol=165884.957].msh     6.8520     9.8950     9.0190     9.3980     4.5110    165884.9570    165637.9988     298778    1708520       9.4472      12.7133      14.3944      36.5641       705.1081        35.2554       297.3629        14.8681
       fcc[r1=6.853_r2=4.393_r3=9.569_r4=7.115_r5=9.939_vol=155686.106].msh     6.8530     4.3930     9.5690     7.1150     9.9390    155686.1060    155509.1919     286301    1633821       9.0352      11.8954      13.6695      34.6087       639.7111        31.9856       270.2421        13.5121
       fcc[r1=6.855_r2=9.562_r3=4.556_r4=9.648_r5=3.705_vol=134328.270].msh     6.8550     9.5620     4.5560     9.6480     3.7050    134328.2700    134123.3152     326258    1857257      10.3019      13.6236      16.2654      40.2027       535.1325        26.7566       236.6397        11.8320
        fcc[r1=6.858_r2=3.374_r3=7.532_r4=1.136_r5=5.131_vol=79316.652].msh     6.8580     3.3740     7.5320     1.1360     5.1310     79316.6520     79223.8697     306036    1695100       8.7438      10.5336      16.5101      35.7960       289.4657        14.4733       134.8628         6.7431
        fcc[r1=6.859_r2=1.855_r3=3.149_r4=8.115_r5=9.112_vol=99805.537].msh     6.8590     1.8550     3.1490     8.1150     9.1120     99805.5370     99726.9486     289912    1604773       8.2585      10.2911      13.5916      32.1491       372.8105        18.6405       164.4839         8.2242
